player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Robert Williams,POR,C,27.0,20.0,3.0,17.6,0.641,0.333,0.882,5.9,1.1,0.7,1.7,0.9,5.8
Moussa Diabate,CHO,C,23.0,71.0,8.0,17.5,0.596,0.0,0.595,6.2,0.8,0.6,0.6,0.9,5.7
Landry Shamet,NYK,SG,27.0,50.0,0.0,15.2,0.461,0.397,0.667,1.2,0.5,0.5,0.0,0.4,5.7
Dariq Whitehead,BRK,SF,20.0,20.0,0.0,12.3,0.406,0.446,0.6,1.5,0.6,0.3,0.1,0.8,5.7
Jordan Goodwin,LAL,PG,26.0,29.0,5.0,18.7,0.438,0.382,0.818,3.9,1.4,1.0,0.4,0.9,5.6
Aaron Holiday,HOU,PG,28.0,62.0,3.0,12.8,0.437,0.398,0.829,1.3,1.3,0.3,0.2,0.6,5.5
Jeff Green,HOU,PF,38.0,32.0,3.0,12.4,0.504,0.367,0.808,1.8,0.6,0.2,0.1,0.3,5.4
Jonathan Isaac,ORL,PF,27.0,71.0,1.0,15.4,0.414,0.258,0.682,4.4,0.6,0.9,1.1,0.5,5.4
Dean Wade,CLE,PF,28.0,59.0,30.0,21.2,0.413,0.36,0.533,4.2,1.3,0.7,0.3,0.4,5.4
Keaton Wallace,ATL,PG,25.0,31.0,5.0,16.2,0.401,0.329,1.0,1.6,2.6,0.9,0.3,1.1,5.4
Kobe Bufkin,ATL,SG,21.0,10.0,0.0,12.4,0.383,0.211,0.722,2.1,1.7,0.3,0.2,0.8,5.3
Jamal Cain,NOP,SF,25.0,37.0,0.0,13.6,0.43,0.325,0.68,2.3,0.6,0.6,0.2,0.6,5.3
Pat Connaughton,MIL,SG,32.0,41.0,1.0,14.7,0.469,0.321,0.774,2.7,1.7,0.2,0.3,0.6,5.3
Kevin Love,MIA,PF,36.0,23.0,9.0,10.9,0.357,0.358,0.696,4.1,1.0,0.7,0.2,0.6,5.3
Ben Sheppard,IND,SG,23.0,63.0,9.0,19.5,0.418,0.342,0.889,2.8,1.3,0.6,0.2,0.3,5.3
Monte Morris,PHO,PG,29.0,45.0,0.0,12.7,0.426,0.36,0.857,1.5,1.6,0.4,0.1,0.5,5.2
Jabari Walker,POR,PF,22.0,60.0,1.0,12.5,0.515,0.389,0.69,3.5,0.6,0.6,0.1,0.6,5.2
Bismack Biyombo,SAS,C,32.0,28.0,26.0,18.9,0.588,,0.4,5.6,1.1,0.6,0.8,1.0,5.1
Mitchell Robinson,NYK,C,26.0,17.0,3.0,17.1,0.661,,0.684,5.9,0.8,0.9,1.1,0.6,5.1
Malaki Branham,SAS,SG,21.0,47.0,0.0,9.1,0.458,0.405,0.818,1.1,0.8,0.2,0.0,0.7,5.0
Neemias Queta,BOS,C,25.0,62.0,6.0,13.9,0.65,0.0,0.754,3.8,0.7,0.3,0.7,0.6,5.0
Alondes Williams,DET,SG,25.0,1.0,0.0,4.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,5.0
Trevelin Queen,ORL,SG,27.0,31.0,2.0,13.9,0.381,0.286,0.857,1.7,1.2,1.0,0.3,0.7,4.9
Jock Landale,HOU,C,29.0,42.0,3.0,11.9,0.533,0.423,0.675,3.3,0.9,0.3,0.2,0.5,4.8
Taylor Hendricks,UTA,PF,21.0,3.0,3.0,25.0,0.222,0.25,0.75,5.0,0.7,1.7,1.3,0.7,4.7
Pelle Larsson,MIA,SG,23.0,55.0,8.0,14.2,0.438,0.337,0.672,1.7,1.2,0.6,0.1,0.4,4.6
Julian Phillips,CHI,SF,21.0,79.0,5.0,14.2,0.446,0.327,0.789,2.1,0.5,0.5,0.3,0.3,4.6
Cody Williams,UTA,SG,20.0,50.0,21.0,21.2,0.323,0.259,0.725,2.3,1.2,0.5,0.3,0.9,4.6
Rob Dillingham,MIN,PG,20.0,49.0,1.0,10.5,0.441,0.338,0.533,1.0,2.0,0.4,0.0,1.1,4.5
Jett Howard,ORL,SF,21.0,60.0,0.0,11.7,0.374,0.296,0.696,1.2,0.7,0.2,0.2,0.6,4.5
Kevon Looney,GSW,C,28.0,76.0,6.0,15.0,0.514,0.4,0.566,6.1,1.6,0.6,0.5,0.5,4.5
Mason Plumlee,PHO,C,34.0,74.0,21.0,17.6,0.619,0.0,0.648,6.1,1.8,0.4,0.6,0.8,4.5
Dalen Terry,CHI,SG,22.0,73.0,5.0,13.5,0.448,0.356,0.71,1.7,1.3,0.6,0.2,0.7,4.5
Charles Bassey,SAS,C,24.0,36.0,1.0,10.4,0.581,,0.636,4.2,0.5,0.4,0.8,0.6,4.4
Tony Bradley,IND,C,27.0,14.0,0.0,8.1,0.644,0.333,0.333,3.0,0.4,0.1,0.6,0.4,4.4
Reggie Jackson,PHI,PG,34.0,31.0,1.0,12.4,0.391,0.338,0.778,1.4,1.5,0.5,0.1,0.5,4.4
Reed Sheppard,HOU,PG,20.0,52.0,3.0,12.6,0.351,0.338,0.813,1.5,1.4,0.7,0.3,0.7,4.4
Lamar Stevens,MEM,PF,27.0,17.0,1.0,9.1,0.46,0.296,0.727,2.2,0.5,0.3,0.2,0.6,4.4
Jevon Carter,CHI,PG,29.0,36.0,1.0,8.9,0.377,0.333,0.8,1.1,1.1,0.4,0.1,0.3,4.3
