player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
Cam Reddish,LAL,7.4,0.498,8.8,0.7,0.054,-2.7,-0.1
Jae'Sean Tate,HOU,12.3,0.557,13.3,1.6,0.133,-0.7,0.2
Olivier-Maxence Prosper,DAL,12.6,0.484,16.3,0.9,0.072,-2.1,0.0
Jarred Vanderbilt,LAL,13.2,0.537,12.5,1.4,0.114,-1.0,0.2
Joel Embiid,PHI,23.4,0.58,34.2,1.4,0.118,3.5,0.8
Monte Morris,PHO,13.1,0.546,18.1,0.8,0.064,-1.8,0.0
Moritz Wagner,ORL,22.3,0.649,26.8,2.0,0.174,4.0,0.9
Malcolm Brogdon,WAS,15.8,0.544,23.7,0.7,0.061,-1.5,0.1
John Konchar,MEM,12.1,0.592,8.0,1.5,0.131,1.7,0.5
Dillon Jones,OKC,8.1,0.464,13.3,0.8,0.067,-4.0,-0.3
Dwight Powell,DAL,12.9,0.713,7.6,1.7,0.147,0.0,0.3
Jordan Goodwin,LAL,12.1,0.541,14.1,1.0,0.084,-0.8,0.2
Richaun Holmes,WAS,19.8,0.695,14.7,2.0,0.178,1.1,0.4
Mouhamed Gueye,ATL,14.4,0.52,15.7,1.2,0.106,-0.6,0.2
Bismack Biyombo,SAS,12.2,0.576,12.3,0.8,0.071,-3.6,-0.2
Jaylen Clark,MIN,12.0,0.598,12.0,1.6,0.147,-0.2,0.2
Rob Dillingham,MIN,10.2,0.503,22.7,0.1,0.012,-4.2,-0.3
Craig Porter Jr.,CLE,13.1,0.61,15.9,1.1,0.102,1.1,0.4
Tristan Vukcevic,WAS,17.8,0.608,25.7,0.7,0.069,-0.5,0.2
Jamal Cain,NOP,11.4,0.544,17.0,0.4,0.036,-3.4,-0.2
Keaton Wallace,ATL,10.1,0.503,16.4,0.4,0.034,-2.3,0.0
Jock Landale,HOU,16.0,0.59,15.7,1.7,0.159,0.4,0.3
Vince Williams Jr.,MEM,9.2,0.504,17.0,0.4,0.04,-2.8,-0.1
Brandon Williams,DAL,18.3,0.634,22.6,1.3,0.129,1.0,0.4
A.J. Lawson,TOR,12.7,0.542,20.0,0.8,0.081,-2.5,-0.1
Grant Williams,CHO,11.5,0.596,14.8,0.7,0.071,-1.6,0.1
Lonnie Walker IV,PHI,13.1,0.548,22.8,0.3,0.033,-2.4,0.0
Duop Reath,POR,13.7,0.552,17.0,1.0,0.105,-0.3,0.2
Larry Nance Jr.,ATL,16.0,0.632,15.7,1.3,0.131,1.8,0.4
